model,dataset,config,signal,bin_mid,depth_k,prob_depth_accepted,n_steps_in_bin
qwen,math500,static_7_1_8,t,0.1,3,0.0,3
qwen,math500,static_7_1_8,t,0.1,4,0.0,3
qwen,math500,static_7_1_8,t,0.1,5,0.0,3
qwen,math500,static_7_1_8,t,0.1,6,0.0,3
qwen,math500,static_7_1_8,t,0.30000000000000004,0,1.0,1686
qwen,math500,static_7_1_8,t,0.30000000000000004,1,0.17200474495848161,1686
qwen,math500,static_7_1_8,t,0.30000000000000004,2,0.054567022538552785,1686
qwen,math500,static_7_1_8,t,0.30000000000000004,3,0.02609727164887307,1686
qwen,math500,static_7_1_8,t,0.30000000000000004,4,0.013641755634638196,1686
qwen,math500,static_7_1_8,t,0.30000000000000004,5,0.0071174377224199285,1686
qwen,math500,static_7_1_8,t,0.30000000000000004,6,0.004744958481613286,1686
qwen,math500,static_7_1_8,t,0.5,0,1.0,5345
qwen,math500,static_7_1_8,t,0.5,1,0.29971936389148734,5345
qwen,math500,static_7_1_8,t,0.5,2,0.11449953227315247,5345
qwen,math500,static_7_1_8,t,0.5,3,0.04733395696913003,5345
qwen,math500,static_7_1_8,t,0.5,4,0.0205799812909261,5345
qwen,math500,static_7_1_8,t,0.5,5,0.007483629560336763,5345
qwen,math500,static_7_1_8,t,0.5,6,0.002245088868101029,5345
qwen,math500,static_7_1_8,t,0.7000000000000001,0,1.0,4970
qwen,math500,static_7_1_8,t,0.7000000000000001,1,0.4853118712273642,4970
qwen,math500,static_7_1_8,t,0.7000000000000001,2,0.20865191146881287,4970
qwen,math500,static_7_1_8,t,0.7000000000000001,3,0.0903420523138833,4970
qwen,math500,static_7_1_8,t,0.7000000000000001,4,0.039235412474849095,4970
qwen,math500,static_7_1_8,t,0.7000000000000001,5,0.017706237424547282,4970
qwen,math500,static_7_1_8,t,0.7000000000000001,6,0.008651911468812877,4970
qwen,math500,static_7_1_8,t,0.9,0,1.0,7710
qwen,math500,static_7_1_8,t,0.9,1,0.8164721141374838,7710
qwen,math500,static_7_1_8,t,0.9,2,0.45123216601815824,7710
qwen,math500,static_7_1_8,t,0.9,3,0.23216601815823606,7710
qwen,math500,static_7_1_8,t,0.9,4,0.12101167315175097,7710
qwen,math500,static_7_1_8,t,0.9,5,0.05875486381322957,7710
qwen,math500,static_7_1_8,t,0.9,6,0.025810635538261996,7710
qwen,mtbench,static_7_1_8,t,0.1,0,1.0,13
qwen,mtbench,static_7_1_8,t,0.1,1,0.0,13
qwen,mtbench,static_7_1_8,t,0.1,2,0.0,13
qwen,mtbench,static_7_1_8,t,0.1,3,0.0,13
qwen,mtbench,static_7_1_8,t,0.1,4,0.0,13
qwen,mtbench,static_7_1_8,t,0.1,5,0.0,13
qwen,mtbench,static_7_1_8,t,0.1,6,0.0,13
qwen,mtbench,static_7_1_8,t,0.30000000000000004,0,1.0,911
qwen,mtbench,static_7_1_8,t,0.30000000000000004,1,0.16245883644346873,911
qwen,mtbench,static_7_1_8,t,0.30000000000000004,2,0.07464324917672886,911
qwen,mtbench,static_7_1_8,t,0.30000000000000004,3,0.04500548847420417,911
qwen,mtbench,static_7_1_8,t,0.30000000000000004,4,0.02305159165751921,911
qwen,mtbench,static_7_1_8,t,0.30000000000000004,5,0.013172338090010977,911
qwen,mtbench,static_7_1_8,t,0.30000000000000004,6,0.006586169045005488,911
qwen,mtbench,static_7_1_8,t,0.5,0,1.0,3075
qwen,mtbench,static_7_1_8,t,0.5,1,0.3411382113821138,3075
qwen,mtbench,static_7_1_8,t,0.5,2,0.1889430894308943,3075
qwen,mtbench,static_7_1_8,t,0.5,3,0.10178861788617886,3075
qwen,mtbench,static_7_1_8,t,0.5,4,0.06211382113821138,3075
qwen,mtbench,static_7_1_8,t,0.5,5,0.035447154471544715,3075
