model,dataset,config,bin_idx,bin_mid,n,mean_accept_rate,ci_lo,ci_hi,signal
llama,mtbench,static_7_1_8,0,0.05,0,,,,target_top1_prob
llama,mtbench,static_7_1_8,1,0.15000000000000002,0,,,,target_top1_prob
llama,mtbench,static_7_1_8,2,0.25,0,,,,target_top1_prob
llama,mtbench,static_7_1_8,3,0.35000000000000003,1,,,,target_top1_prob
llama,mtbench,static_7_1_8,4,0.45,34,0.30672268907563016,0.23468615063211687,0.3787592275191435,target_top1_prob
llama,mtbench,static_7_1_8,5,0.55,180,0.34920634920634913,0.3118846046776822,0.38652809373501607,target_top1_prob
llama,mtbench,static_7_1_8,6,0.6500000000000001,565,0.39039190897597975,0.36753945399827626,0.41324436395368325,target_top1_prob
llama,mtbench,static_7_1_8,7,0.75,1014,0.43801070724147645,0.4192923479496986,0.4567290665332543,target_top1_prob
llama,mtbench,static_7_1_8,8,0.8500000000000001,1132,0.5348308934881372,0.5143384866579344,0.55532330031834,target_top1_prob
llama,mtbench,static_7_1_8,9,0.95,770,0.650834879406308,0.6234884494598987,0.6781813093527174,target_top1_prob
qwen,livecodebench,static_7_1_8,0,0.05,0,,,,target_top1_prob
qwen,livecodebench,static_7_1_8,1,0.15000000000000002,0,,,,target_top1_prob
qwen,livecodebench,static_7_1_8,2,0.25,0,,,,target_top1_prob
qwen,livecodebench,static_7_1_8,3,0.35000000000000003,7,0.16326530612244894,0.12326530612244893,0.20326530612244895,target_top1_prob
qwen,livecodebench,static_7_1_8,4,0.45,118,0.2324455205811137,0.20795815222054556,0.2569328889416818,target_top1_prob
qwen,livecodebench,static_7_1_8,5,0.55,844,0.2544008124576844,0.24512727779820942,0.2636743471171594,target_top1_prob
qwen,livecodebench,static_7_1_8,6,0.6500000000000001,3111,0.25669284107085455,0.25131010792261715,0.26207557421909194,target_top1_prob
qwen,livecodebench,static_7_1_8,7,0.75,6218,0.2712631530579423,0.26711282617680365,0.27541347993908094,target_top1_prob
qwen,livecodebench,static_7_1_8,8,0.8500000000000001,6786,0.28861942655046097,0.2842728871509389,0.29296596594998303,target_top1_prob
qwen,livecodebench,static_7_1_8,9,0.95,3219,0.3327564017219189,0.3252721534656818,0.340240649978156,target_top1_prob
qwen,math500,static_7_1_8,0,0.05,0,,,,target_top1_prob
qwen,math500,static_7_1_8,1,0.15000000000000002,0,,,,target_top1_prob
qwen,math500,static_7_1_8,2,0.25,0,,,,target_top1_prob
qwen,math500,static_7_1_8,3,0.35000000000000003,6,0.19047619047619044,0.1314470074863807,0.24950537346600019,target_top1_prob
qwen,math500,static_7_1_8,4,0.45,87,0.23973727422003271,0.2136416641008586,0.2658328843392068,target_top1_prob
qwen,math500,static_7_1_8,5,0.55,493,0.2347145754853665,0.22119880091788385,0.24823035005284916,target_top1_prob
qwen,math500,static_7_1_8,6,0.6500000000000001,2046,0.24109761206535393,0.2346896147067012,0.24750560942400668,target_top1_prob
qwen,math500,static_7_1_8,7,0.75,5222,0.2674399518520545,0.26283619184152235,0.27204371186258663,target_top1_prob
qwen,math500,static_7_1_8,8,0.8500000000000001,7106,0.2912830203851875,0.28690340890833954,0.29566263186203545,target_top1_prob
qwen,math500,static_7_1_8,9,0.95,4754,0.3488190396057455,0.3423480803398935,0.3552899988715975,target_top1_prob
qwen,mtbench,static_7_1_8,0,0.05,0,,,,target_top1_prob
qwen,mtbench,static_7_1_8,1,0.15000000000000002,0,,,,target_top1_prob
qwen,mtbench,static_7_1_8,2,0.25,0,,,,target_top1_prob
qwen,mtbench,static_7_1_8,3,0.35000000000000003,2,,,,target_top1_prob
qwen,mtbench,static_7_1_8,4,0.45,49,0.25947521865889206,0.20869893194435368,0.31025150537343044,target_top1_prob
qwen,mtbench,static_7_1_8,5,0.55,288,0.2876984126984127,0.266993978576914,0.30840284681991137,target_top1_prob
qwen,mtbench,static_7_1_8,6,0.6500000000000001,1341,0.3694471077021412,0.3575919601071718,0.38130225529711054,target_top1_prob
qwen,mtbench,static_7_1_8,7,0.75,3827,0.3726156258165665,0.36455524183229365,0.3806760098008393,target_top1_prob
qwen,mtbench,static_7_1_8,8,0.8500000000000001,5941,0.3885589246639574,0.38161053405083223,0.3955073152770826,target_top1_prob
qwen,mtbench,static_7_1_8,9,0.95,7017,0.6400985362079845,0.6311787218181251,0.649018350597844,target_top1_prob
llama,livecodebench,static_7_4_8,0,0.05,0,,,,target_top1_prob
llama,livecodebench,static_7_4_8,1,0.15000000000000002,0,,,,target_top1_prob
