model,dataset,config,bin_idx,bin_mid,n,mean_accept_rate,ci_lo,ci_hi,signal
qwen,math500,static_3_1_4,5,0.55,1986,0.5664652567975831,0.5522833723806859,0.5806471412144802,top1_prob
qwen,math500,static_3_1_4,6,0.6500000000000001,1847,0.6035011730734524,0.5880878394229014,0.6189145067240034,top1_prob
qwen,math500,static_3_1_4,7,0.75,1805,0.6518928901200368,0.6362259725069557,0.667559807733118,top1_prob
qwen,math500,static_3_1_4,8,0.8500000000000001,1975,0.7356962025316456,0.7203526015243388,0.7510398035389524,top1_prob
qwen,math500,static_3_1_4,9,0.95,5920,0.8900337837837838,0.8815069075847306,0.8985606599828371,top1_prob
qwen,mtbench,static_3_1_4,0,0.05,328,0.38821138211382106,0.36572013894061844,0.41070262528702367,top1_prob
qwen,mtbench,static_3_1_4,1,0.15000000000000002,685,0.43698296836982964,0.4172190703815894,0.4567468663580699,top1_prob
qwen,mtbench,static_3_1_4,2,0.25,957,0.4820619993033785,0.46261642956895543,0.5015075690378016,top1_prob
qwen,mtbench,static_3_1_4,3,0.35000000000000003,1319,0.541066464493303,0.5225278674609086,0.5596050615256973,top1_prob
qwen,mtbench,static_3_1_4,4,0.45,1372,0.5991253644314869,0.5799421956012738,0.6183085332617,top1_prob
qwen,mtbench,static_3_1_4,5,0.55,1575,0.6734391534391534,0.6540147346926946,0.6928635721856122,top1_prob
qwen,mtbench,static_3_1_4,6,0.6500000000000001,1391,0.7143541816439012,0.6942735521918975,0.7344348110959049,top1_prob
qwen,mtbench,static_3_1_4,7,0.75,1509,0.7874972387894854,0.7676655619268452,0.8073289156521256,top1_prob
qwen,mtbench,static_3_1_4,8,0.8500000000000001,1979,0.8627252821290213,0.8461506393751614,0.8792999248828812,top1_prob
qwen,mtbench,static_3_1_4,9,0.95,14943,1.0410448593544357,1.0358978739542766,1.0461918447545948,top1_prob
llama,livecodebench,static_7_1_8,0,0.05,291,0.15120274914089343,0.14711267023131097,0.1552928280504759,top1_prob
