model,dataset,decile,signal_mid,n_steps_in_decile,best_config,best_est_tput_tok_s,best_al,tput_static_3_1_4,al_static_3_1_4,tput_static_7_1_8,al_static_7_1_8,tput_static_7_4_8,al_static_7_4_8,tput_static_6_10_60,al_static_6_10_60
llama,math500,0,0.15238441885448992,1302,static_6_10_60,97.03775505940091,2.412878787878788,83.25149233018688,1.5149863760217983,80.19951892152818,1.5635359116022098,90.85775867309471,1.8187702265372168,97.03775505940091,2.412878787878788
llama,math500,1,0.38694908618927004,1301,static_6_10_60,145.72203459404025,3.6234309623430963,103.16049474821742,1.877284595300261,97.17378893688952,1.8944591029023747,126.05463169928592,2.5233333333333334,145.72203459404025,3.6234309623430963
llama,math500,2,0.5551922768354417,1301,static_6_10_60,162.71732962175165,4.046025104602511,119.64411325654702,2.177248677248677,132.42846888071247,2.581769436997319,154.84629837458525,3.09967845659164,162.71732962175165,4.046025104602511
llama,math500,3,0.7149976015090944,1301,static_6_10_60,168.22305004669124,4.182926829268292,135.52993151402796,2.466334164588529,150.44153748720373,2.932944606413994,162.8777453857152,3.260450160771704,168.22305004669124,4.182926829268292
llama,math500,4,0.8493909657001496,1301,static_7_4_8,187.3335015346059,3.75,155.14218993909262,2.823232323232323,173.2688474848997,3.3779761904761907,187.3335015346059,3.75,182.0635483281006,4.527075812274369
llama,math500,5,0.9302530586719513,1302,static_7_1_8,216.14417367481,4.213855421686747,164.71319036109543,2.9974025974025973,216.14417367481,4.213855421686747,208.9646030189939,4.183006535947713,194.01981754656265,4.82437275985663
llama,math500,6,0.9714747369289398,1301,static_7_4_8,235.55576705419008,4.715302491103203,172.23965056848297,3.1343669250645996,229.17847112979467,4.467966573816156,235.55576705419008,4.715302491103203,201.37649786611215,5.007299270072993
llama,math500,7,0.991140753030777,1300,static_7_4_8,235.82813627148875,4.720754716981132,180.92937523102606,3.2925,226.6171831797882,4.418032786885246,235.82813627148875,4.720754716981132,203.7740190048283,5.066914498141264
llama,math500,8,0.9979921758174897,1302,static_7_4_8,267.3095901142854,5.350943396226415,189.36358994979054,3.445983379501385,237.23329426566886,4.625,267.3095901142854,5.350943396226415,183.82953284175824,4.570987654320987
llama,math500,9,0.9997466087341309,1302,static_7_4_8,284.6209838441743,5.697478991596639,205.92375458449712,3.747340425531915,254.05054208011566,4.952861952861953,284.6209838441743,5.697478991596639,211.1628073576781,5.250639386189258
llama,mtbench,0,0.1492637391202152,1429,static_6_10_60,132.06175773984052,3.314741035856574,97.27542343810478,1.5949656750572083,90.29597647874003,1.7738693467336684,97.1913944030316,1.956268221574344,132.06175773984052,3.314741035856574
llama,mtbench,1,0.3555123895406723,1429,static_6_10_60,161.94807311649237,4.064885496183206,112.76691841892202,1.8489702517162472,100.69110410580474,1.978082191780822,126.72322866669371,2.5506849315068494,161.94807311649237,4.064885496183206
llama,mtbench,2,0.4899526774883272,1428,static_6_10_60,182.1547649785087,4.572072072072072,125.6293060835246,2.059866962305987,128.053859348546,2.515625,155.3400685506936,3.1266846361185983,182.1547649785087,4.572072072072072
llama,mtbench,3,0.6177799463272097,1429,static_6_10_60,201.85978290426266,5.066666666666666,149.89280034389054,2.457700650759219,158.45961206794397,3.112947658402204,172.60959893026035,3.474285714285714,201.85978290426266,5.066666666666666
llama,mtbench,4,0.7419860720634461,1428,static_6_10_60,199.5289637139073,5.0081632653061225,165.67781298570347,2.716517857142857,174.37676683768242,3.4256410256410255,185.19160106433588,3.727536231884058,199.5289637139073,5.0081632653061225
llama,mtbench,5,0.8531441867351532,1429,static_6_10_60,209.8077341322822,5.266159695817491,179.78507958818733,2.9478260869565216,201.31287148874836,3.9548022598870056,197.31673509591894,3.971590909090909,209.8077341322822,5.266159695817491
llama,mtbench,6,0.9347403943538666,1429,static_7_1_8,211.54116832000926,4.155737704918033,198.44589630700423,3.2537960954446854,211.54116832000926,4.155737704918033,210.38687518736558,4.234666666666667,210.4363665391354,5.28193832599119
llama,mtbench,7,0.978211271762848,1428,static_7_1_8,227.50425124906738,4.469333333333333,197.76079628664917,3.242562929061785,227.50425124906738,4.469333333333333,215.01510614171843,4.327823691460055,223.45462237971867,5.608695652173913
llama,mtbench,8,0.9950451016426086,1429,static_7_4_8,244.52203624202357,4.921739130434783,207.92887489058617,3.409282700421941,237.45518392919766,4.664819944598338,244.52203624202357,4.921739130434783,236.00442278359813,5.923694779116466
llama,mtbench,9,0.9993637502193451,1429,static_7_1_8,265.44624640113653,5.214705882352941,215.24147155683207,3.529182879377432,265.44624640113653,5.214705882352941,252.47508994247485,5.081818181818182,234.49125156923745,5.885714285714286
qwen,livecodebench,0,0.12497837073169649,7133,static_6_10_60,104.87717843189932,2.310738766184311,77.48542652577622,1.2746781115879828,65.89626359700974,1.3005410723069355,82.69392378021945,1.6431952662721894,104.87717843189932,2.310738766184311
qwen,livecodebench,1,0.2912274867296219,7133,static_6_10_60,118.26355493905582,2.6056782334384856,84.14680007090637,1.384261389783709,71.54638411409178,1.4120529152376287,92.6030136689734,1.8400969109630527,118.26355493905582,2.6056782334384856
qwen,livecodebench,2,0.38020720928907403,7133,static_6_10_60,127.50573020824442,2.809309309309309,93.0958840824503,1.5314787701317716,77.13284898833048,1.5223084384093113,101.87105266551342,2.0242603550295857,127.50573020824442,2.809309309309309
qwen,livecodebench,3,0.46635870784521105,7133,static_6_10_60,129.92081721213893,2.862520458265139,98.85007749441348,1.6261384335154827,84.42244053359978,1.6661771904062652,108.62631158102188,2.1584928229665072,129.92081721213893,2.862520458265139
qwen,livecodebench,4,0.5573674291372299,7133,static_6_10_60,138.40498721631315,3.0494505494505493,106.15130449053275,1.74624765478424,91.3959017659432,1.8038067349926794,115.25581664937937,2.290226460071514,138.40498721631315,3.0494505494505493
qwen,livecodebench,5,0.6595965415239334,7133,static_6_10_60,142.69820674558088,3.1440422322775263,113.02673838726565,1.8593523441275979,100.29911275420176,1.9795221843003412,117.3257362300174,2.331357439241257,142.69820674558088,3.1440422322775263
qwen,livecodebench,6,0.7696957617998124,7133,static_6_10_60,147.94709234795252,3.25968992248062,126.15501500237836,2.0753197536712458,108.35153036028035,2.1384462151394423,123.65256062493498,2.45707656612529,147.94709234795252,3.25968992248062
