model,dataset,config,slope_a,intercept_b,r_squared,pearson_r,n_bins_valid,signal
qwen,livecodebench,static_7_4_8,0.32237897955660544,0.12196606456229087,0.9570620086877998,0.9782954608336889,8,t
qwen,math500,static_3_1_4,0.6319148964433068,0.201094896072242,0.9328788827916527,0.9658565539414498,9,t
qwen,math500,static_6_10_60,0.4637612830472069,0.2098991835459958,0.9735146415009847,0.9866684557139671,8,t
qwen,math500,static_7_1_8,0.31005929866764087,0.07468859719890458,0.9117250006685986,0.9548429193687298,9,t
qwen,math500,static_7_4_8,0.33952161367123096,0.1056568443969822,0.9399336426446268,0.9695017496862122,8,t
qwen,mtbench,static_3_1_4,0.8393581757126443,0.15682266778804393,0.9587407401020399,0.9791530728655453,9,t
qwen,mtbench,static_6_10_60,0.8452132809223554,0.08381340521198782,0.9726037287821031,0.9862067373436987,9,t
qwen,mtbench,static_7_1_8,0.5602489682263898,0.0015477932129855376,0.858397968978416,0.9264976896778621,9,t
qwen,mtbench,static_7_4_8,0.5958424615159763,0.01805368952955122,0.9362039554659989,0.9675763305631235,9,t
llama,livecodebench,static_3_1_4,0.9171722511971139,0.49458436703128783,0.9330040652562555,0.9659213556269762,10,DOG
llama,livecodebench,static_6_10_60,-0.9890536464946625,0.8119860973536109,0.26579893411809613,-0.5155569164681006,4,DOG
llama,livecodebench,static_7_1_8,0.8891287395393479,0.25761986426614625,0.9173048082212929,0.9577603083346548,10,DOG
llama,livecodebench,static_7_4_8,0.878557592364571,0.26000884289709814,0.9573777041911691,0.9784567973043925,10,DOG
llama,math500,static_3_1_4,0.7725226880446457,0.5537441448920997,0.9657640451898936,0.9827329470359145,10,DOG
llama,math500,static_6_10_60,-0.44228544275029963,0.8393645014149059,0.07464996670469197,-0.27322146091530214,3,DOG
llama,math500,static_7_1_8,0.8015648490600298,0.26940194530077644,0.9827229439534817,0.9913238340489356,10,DOG
llama,math500,static_7_4_8,0.7633435327759576,0.30008554425119754,0.9773392438631001,0.9886046954486409,10,DOG
llama,mtbench,static_3_1_4,0.7325259201682225,0.5863489261538376,0.9464295410155618,0.972846103459104,10,DOG
llama,mtbench,static_6_10_60,0.13181789812828423,0.877615097310874,0.10749448376192379,0.3278635139229795,5,DOG
llama,mtbench,static_7_1_8,0.5593929074742265,0.3551044761815515,0.8392648853437624,0.9161140132886094,9,DOG
llama,mtbench,static_7_4_8,0.6099068930874607,0.3533620959037294,0.9425785659792927,0.9708648546421343,10,DOG
qwen,livecodebench,static_3_1_4,0.5869482927927612,0.5467491271699767,0.8697253273721987,0.932590653701933,10,DOG
qwen,livecodebench,static_6_10_60,-0.7000374180749872,0.5215929290230995,0.9184791228896548,-0.9583731647378566,5,DOG
qwen,livecodebench,static_7_1_8,0.6256248609995692,0.2352113208800946,0.98346322756791,0.9916971450840776,7,DOG
qwen,livecodebench,static_7_4_8,0.6804783165835948,0.257000661841581,0.9912233232231111,0.9956019903671904,8,DOG
qwen,math500,static_3_1_4,0.7138527561510781,0.5019188860757433,0.9572850316243369,0.9784094396643651,10,DOG
qwen,math500,static_6_10_60,-1.0552984451513137,0.6353658645741773,0.7191730455673722,-0.8480407098526416,4,DOG
qwen,math500,static_7_1_8,0.4222592022595258,0.27404332908549695,0.7734032629713145,0.8794334897940347,7,DOG
qwen,math500,static_7_4_8,0.5008623715377042,0.2843881652604296,0.9090070367629078,0.9534186052112198,7,DOG
qwen,mtbench,static_3_1_4,0.7607824933858808,0.5296540861754118,0.9693639766769767,0.9845628353116812,10,DOG
qwen,mtbench,static_6_10_60,-0.7607292572010788,0.9777175765111308,0.3555412132114734,-0.5962727674575399,5,DOG
qwen,mtbench,static_7_1_8,0.8261603551383413,0.2522365987302156,0.9313365757986374,0.9650578095630528,10,DOG
qwen,mtbench,static_7_4_8,0.82806991862336,0.2607309467764949,0.9954079824041563,0.9977013493045683,10,DOG
