model,dataset,config,decile,signal_mid,overspend,underspend,mean_al,n
llama,mtbench,static_3_1_4,8,0.5423416495323181,0.0,0.8877005347593583,3.0614973262032086,748
llama,mtbench,static_7_1_8,8,0.5423416495323181,3.1121495327102804,0.4174454828660436,4.88785046728972,321
llama,mtbench,static_7_4_8,8,0.5423416495323181,2.925925925925926,0.42165242165242167,5.074074074074074,351
llama,mtbench,static_6_10_60,8,0.5423416495323181,53.888888888888886,0.8888888888888888,6.111111111111111,9
llama,mtbench,static_3_1_4,9,0.7536659240722656,0.0,0.9761222540592168,3.4622731614135627,1047
llama,mtbench,static_7_1_8,9,0.7536659240722656,2.4952830188679247,0.5188679245283019,5.504716981132075,212
llama,mtbench,static_7_4_8,9,0.7536659240722656,2.223529411764706,0.5764705882352941,5.776470588235294,170
qwen,livecodebench,static_3_1_4,0,0.009958288632333279,0.0,0.22802850356294538,1.334916864608076,421
qwen,livecodebench,static_7_1_8,0,0.009958288632333279,6.573055028462998,0.005060088551549652,1.426944971537002,1581
qwen,livecodebench,static_7_4_8,0,0.009958288632333279,6.47588424437299,0.0,1.5241157556270097,311
qwen,livecodebench,static_6_10_60,0,0.009958288632333279,57.37697095435685,0.07676348547717843,2.6230290456431535,4820
qwen,livecodebench,static_3_1_4,1,0.021597975865006447,0.0,0.28527131782945736,1.4511627906976745,645
qwen,livecodebench,static_7_1_8,1,0.021597975865006447,6.472349061390157,0.006595636732623034,1.5276509386098427,1971
qwen,livecodebench,static_7_4_8,1,0.021597975865006447,6.2522388059701495,0.0,1.7477611940298508,670
qwen,livecodebench,static_6_10_60,1,0.021597975865006447,56.83753574213673,0.16688328567715102,3.1624642578632702,3847
qwen,livecodebench,static_3_1_4,2,0.03350452706217766,0.0,0.28952991452991456,1.4252136752136753,936
qwen,livecodebench,static_7_1_8,2,0.03350452706217766,6.358215010141988,0.010953346855983773,1.6417849898580121,2465
qwen,livecodebench,static_7_4_8,2,0.03350452706217766,6.172711571675302,0.0,1.8272884283246977,1158
qwen,livecodebench,static_6_10_60,2,0.03350452706217766,56.46270396270396,0.25213675213675213,3.5372960372960374,2574
qwen,livecodebench,static_3_1_4,3,0.047947388142347336,0.0,0.32455516014234875,1.502491103202847,1405
qwen,livecodebench,static_7_1_8,3,0.047947388142347336,6.2639539070939865,0.0068419157364061935,1.7360460929060137,2777
qwen,livecodebench,static_7_4_8,3,0.047947388142347336,6.074137931034483,0.0011494252873563218,1.9258620689655173,1740
qwen,livecodebench,static_6_10_60,3,0.047947388142347336,55.957060280759706,0.3856317093311313,4.042939719240297,1211
qwen,livecodebench,static_3_1_4,4,0.06680232286453247,0.0,0.39819245082402976,1.6044657097288677,1881
qwen,livecodebench,static_7_1_8,4,0.06680232286453247,6.1004243281471,0.019094766619519095,1.8995756718528995,2828
qwen,livecodebench,static_7_4_8,4,0.06680232286453247,5.903419593345657,0.003234750462107209,2.096580406654344,2164
qwen,livecodebench,static_6_10_60,4,0.06680232286453247,55.40384615384615,0.5,4.596153846153846,260
qwen,livecodebench,static_3_1_4,5,0.09015727788209915,0.0,0.40315838365071993,1.6363214119832792,2153
qwen,livecodebench,static_7_1_8,5,0.09015727788209915,5.93531746031746,0.020634920634920634,2.06468253968254,2520
qwen,livecodebench,static_7_4_8,5,0.09015727788209915,5.75527950310559,0.004554865424430642,2.24472049689441,2415
qwen,livecodebench,static_6_10_60,5,0.09015727788209915,56.333333333333336,0.3111111111111111,3.6666666666666665,45
qwen,livecodebench,static_3_1_4,6,0.11887770891189575,0.0,0.4620774938169827,1.7164056059356967,2426
qwen,livecodebench,static_7_1_8,6,0.11887770891189575,5.789954337899544,0.02237442922374429,2.2100456621004567,2190
qwen,livecodebench,static_7_4_8,6,0.11887770891189575,5.644203770557561,0.008022462896109106,2.355796229442439,2493
qwen,livecodebench,static_6_10_60,6,0.11887770891189575,57.5,0.0,2.5,24
qwen,livecodebench,static_3_1_4,7,0.15758998692035675,0.0,0.5332116788321168,1.8412408759124088,2740
qwen,livecodebench,static_7_1_8,7,0.15758998692035675,5.607162235485621,0.032555615843733045,2.3928377645143786,1843
qwen,livecodebench,static_7_4_8,7,0.15758998692035675,5.390532544378698,0.01222879684418146,2.6094674556213016,2535
qwen,livecodebench,static_6_10_60,7,0.15758998692035675,58.06666666666667,0.0,1.9333333333333333,15
qwen,livecodebench,static_3_1_4,8,0.21902573108673096,0.0,0.6214305908962398,2.0197907831495616,3537
qwen,livecodebench,static_7_1_8,8,0.21902573108673096,5.193353474320242,0.06570996978851963,2.806646525679758,1324
qwen,livecodebench,static_7_4_8,8,0.21902573108673096,5.131648936170213,0.025709219858156027,2.8683510638297873,2256
qwen,livecodebench,static_6_10_60,8,0.21902573108673096,57.8125,0.0,2.1875,16
qwen,livecodebench,static_3_1_4,9,0.3924144506454468,0.0,0.8021411578112609,2.4686756542426647,5044
qwen,livecodebench,static_7_1_8,9,0.3924144506454468,4.72636815920398,0.11442786069651742,3.27363184079602,804
qwen,livecodebench,static_7_4_8,9,0.3924144506454468,4.365777080062794,0.141287284144427,3.634222919937206,1274
qwen,livecodebench,static_6_10_60,9,0.3924144506454468,58.45454545454545,0.0,1.5454545454545454,11
qwen,math500,static_3_1_4,0,0.009454329498112202,0.0,0.22564102564102564,1.3435897435897435,585
qwen,math500,static_7_1_8,0,0.009454329498112202,6.5943627450980395,0.00857843137254902,1.4056372549019607,1632
qwen,math500,static_7_4_8,0,0.009454329498112202,6.422169811320755,0.0023584905660377358,1.5778301886792452,424
qwen,math500,static_6_10_60,0,0.009454329498112202,57.49777361143661,0.07101007733770799,2.5022263885633933,4267
qwen,math500,static_3_1_4,1,0.0219708364456892,0.0,0.26912181303116145,1.4121813031161472,706
qwen,math500,static_7_1_8,1,0.0219708364456892,6.441286863270777,0.011796246648793566,1.5587131367292226,1865
qwen,math500,static_7_4_8,1,0.0219708364456892,6.348314606741573,0.0012484394506866417,1.651685393258427,801
qwen,math500,static_6_10_60,1,0.0219708364456892,56.85633484162896,0.17562217194570134,3.1436651583710407,3536
qwen,math500,static_3_1_4,2,0.03515880927443504,0.0,0.2712041884816754,1.4282722513089006,955
qwen,math500,static_7_1_8,2,0.03515880927443504,6.378989361702128,0.00975177304964539,1.6210106382978724,2256
qwen,math500,static_7_4_8,2,0.03515880927443504,6.179700499168053,0.0024958402662229617,1.8202995008319467,1202
qwen,math500,static_6_10_60,2,0.03515880927443504,56.3250501002004,0.2965931863727455,3.674949899799599,2495
qwen,math500,static_3_1_4,3,0.05145169422030449,0.0,0.33593141075604055,1.5136399064692128,1283
qwen,math500,static_7_1_8,3,0.05145169422030449,6.252850963429021,0.012583562721195438,1.7471490365709792,2543
qwen,math500,static_7_4_8,3,0.05145169422030449,6.044337926902337,0.007189934092270821,1.9556620730976633,1669
qwen,math500,static_6_10_60,3,0.05145169422030449,55.875354107648725,0.3980169971671388,4.124645892351275,1412
qwen,math500,static_3_1_4,4,0.07316513359546661,0.0,0.34641255605381166,1.5347533632286996,1784
qwen,math500,static_7_1_8,4,0.07316513359546661,6.090334572490707,0.021561338289962824,1.9096654275092937,2690
qwen,math500,static_7_4_8,4,0.07316513359546661,5.930176948828312,0.006217120994739359,2.069823051171688,2091
qwen,math500,static_6_10_60,4,0.07316513359546661,55.39650145772595,0.5072886297376094,4.603498542274052,343
qwen,math500,static_3_1_4,5,0.10097528994083405,0.0,0.4145985401459854,1.675425790754258,2055
qwen,math500,static_7_1_8,5,0.10097528994083405,5.836038961038961,0.028409090909090908,2.163961038961039,2464
qwen,math500,static_7_4_8,5,0.10097528994083405,5.7019189765458425,0.01833688699360341,2.298081023454158,2345
qwen,math500,static_6_10_60,5,0.10097528994083405,55.86363636363637,0.45454545454545453,4.136363636363637,44
qwen,math500,static_3_1_4,6,0.13634458184242249,0.0,0.48669527896995707,1.7746781115879828,2330
qwen,math500,static_7_1_8,6,0.13634458184242249,5.657320872274143,0.04005340453938585,2.3426791277258565,2247
qwen,math500,static_7_4_8,6,0.13634458184242249,5.4867908185361625,0.02208748375920312,2.513209181463837,2309
qwen,math500,static_6_10_60,6,0.13634458184242249,56.42857142857143,0.3333333333333333,3.5714285714285716,21
qwen,math500,static_3_1_4,7,0.18437989056110382,0.0,0.5569668976135489,1.9695919938414164,2598
qwen,math500,static_7_1_8,7,0.18437989056110382,5.407230196703881,0.045188729399255716,2.592769803296119,1881
qwen,math500,static_7_4_8,7,0.18437989056110382,5.229842061512884,0.04405652535328346,2.7701579384871153,2406
qwen,math500,static_6_10_60,7,0.18437989056110382,57.130434782608695,0.17391304347826086,2.869565217391304,23
qwen,math500,static_3_1_4,8,0.25718945264816284,0.0,0.6443527918781726,2.1221446700507616,3152
qwen,math500,static_7_1_8,8,0.25718945264816284,5.10347085789129,0.08316961362148002,2.89652914210871,1527
qwen,math500,static_7_4_8,8,0.25718945264816284,4.883468834688347,0.06504065040650407,3.116531165311653,2214
qwen,math500,static_6_10_60,8,0.25718945264816284,58.266666666666666,0.0,1.7333333333333334,15
qwen,math500,static_3_1_4,9,0.44570720195770264,0.0,0.814385150812065,2.573472544470224,5172
qwen,math500,static_7_1_8,9,0.44570720195770264,4.788177339901478,0.11986863711001643,3.2118226600985222,609
qwen,math500,static_7_4_8,9,0.44570720195770264,4.507555555555555,0.10488888888888889,3.4924444444444442,1125
