model,dataset,decile,signal_mid,n_steps_in_decile,best_config,best_est_tput_tok_s,best_al,tput_static_3_1_4,tput_static_7_1_8,tput_static_7_4_8,tput_static_6_10_60,al_static_3_1_4,al_static_7_1_8,al_static_7_4_8,al_static_6_10_60
llama,math500,2,0.07333265244960785,1301,static_6_10_60,212.91470079971117,5.294200848656295,98.01135706482447,118.69884855149891,109.69979819594037,212.91470079971117,1.7835820895522387,2.3141025641025643,2.195945945945946,5.294200848656295
llama,math500,3,0.11538299918174744,1301,static_6_10_60,245.82000467532072,6.112403100775194,100.70790383677276,131.60879767227718,132.48458938938597,245.82000467532072,1.8326530612244898,2.5657894736842106,2.652046783625731,6.112403100775194
llama,math500,4,0.18403275310993195,1302,static_6_10_60,183.84726502395577,4.571428571428571,114.09383510784214,150.9586257356648,159.60292752553892,183.84726502395577,2.0762463343108504,2.943025540275049,3.194895591647332,4.571428571428571
llama,math500,5,0.26104333996772766,1301,static_7_4_8,181.2609170811905,3.628440366972477,133.95454731923326,180.74414038452073,181.2609170811905,120.64976767197098,2.4376657824933687,3.5237113402061855,3.628440366972477,3.0
llama,math500,6,0.3517337143421173,1301,static_7_4_8,207.5352615575776,4.154394299287411,137.4403224196902,199.60986003995595,207.5352615575776,,2.501098901098901,3.891509433962264,4.154394299287411,
llama,math500,7,0.4496971666812897,1301,static_7_4_8,223.58351816393838,4.4756446991404015,158.70216533056958,213.62719927773003,223.58351816393838,,2.8880157170923377,4.1647855530474045,4.4756446991404015,
llama,math500,8,0.5991339683532715,1301,static_7_1_8,274.188062954719,5.345454545454546,171.3163899976928,274.188062954719,267.41908865930094,,3.1175656984785616,5.345454545454546,5.353135313531353,
llama,math500,9,0.8496949076652527,1302,static_7_1_8,337.7453767688802,6.584541062801932,196.990468259721,337.7453767688802,326.4642307445178,,3.58477508650519,6.584541062801932,6.535087719298246,
llama,mtbench,0,0.02772032655775547,1429,static_6_10_60,166.14185980985167,4.170149253731343,73.52103307198672,86.53577575852054,86.63562201636395,166.14185980985167,1.2054794520547945,1.7,1.743801652892562,4.170149253731343
llama,mtbench,1,0.06099873408675194,1429,static_6_10_60,214.75369726680768,5.390303030303031,97.73398763959612,116.45795739154056,111.20688999317521,214.75369726680768,1.6024844720496894,2.2878228782287824,2.238372093023256,5.390303030303031
llama,mtbench,2,0.09492862224578857,1428,static_6_10_60,234.04164627463402,5.8744292237442925,113.70318288537096,125.49338713763605,122.76085258986873,234.04164627463402,1.864321608040201,2.465324384787472,2.4709302325581395,5.8744292237442925
llama,mtbench,3,0.14538806676864624,1429,static_6_10_60,210.58680359373264,5.285714285714286,121.32228148059393,145.2045875899116,152.68138865581838,210.58680359373264,1.989247311827957,2.8525519848771266,3.073170731707317,5.285714285714286
llama,mtbench,4,0.20335756242275238,1429,static_6_10_60,237.00136454346628,5.948717948717949,142.16559160455157,171.01375459662572,172.8246902141669,237.00136454346628,2.331002331002331,3.3595744680851065,3.478615071283096,5.948717948717949
