model,dataset,config,bin_idx,bin_mid,n,mean_accept_rate,ci_lo,ci_hi,signal
llama,mtbench,static_3_1_4,2,0.25,77,0.4069264069264069,0.3623464096868003,0.4515064041660135,t
llama,mtbench,static_3_1_4,3,0.35000000000000003,253,0.5322793148880105,0.48922486001219534,0.5753337697638257,t
llama,mtbench,static_3_1_4,4,0.45,401,0.599334995843724,0.5621844695371616,0.6364855221502863,t
llama,mtbench,static_3_1_4,5,0.55,447,0.6547352721849365,0.617561443864584,0.6919091005052891,t
llama,mtbench,static_3_1_4,6,0.6500000000000001,516,0.7945736434108527,0.7575361830369138,0.8316111037847915,t
llama,mtbench,static_3_1_4,7,0.75,540,0.8882716049382716,0.8544864548511762,0.922056755025367,t
llama,mtbench,static_3_1_4,8,0.8500000000000001,742,1.0080862533692723,0.9828621915297792,1.0333103152087655,t
llama,mtbench,static_3_1_4,9,0.95,1601,1.1390797418280243,1.1253742107475182,1.1527852729085304,t
qwen,livecodebench,static_3_1_4,0,0.05,0,,,,t
qwen,livecodebench,static_3_1_4,1,0.15000000000000002,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,t
qwen,livecodebench,static_3_1_4,2,0.25,272,0.40441176470588236,0.38015227231898674,0.428671257092778,t
qwen,livecodebench,static_3_1_4,3,0.35000000000000003,1675,0.43422885572139297,0.4231826858372971,0.4452750256054888,t
qwen,livecodebench,static_3_1_4,4,0.45,3074,0.4695293862502711,0.46044388936000613,0.478614883140536,t
qwen,livecodebench,static_3_1_4,5,0.55,3337,0.5344121466386973,0.5244878640731149,0.5443364292042797,t
qwen,livecodebench,static_3_1_4,6,0.6500000000000001,3021,0.5813748206995475,0.5700418536260027,0.5927077877730923,t
qwen,livecodebench,static_3_1_4,7,0.75,2664,0.6532782782782783,0.6408173303870677,0.665739226169489,t
qwen,livecodebench,static_3_1_4,8,0.8500000000000001,3080,0.7344155844155844,0.7228754720875349,0.7459556967436339,t
qwen,livecodebench,static_3_1_4,9,0.95,4062,0.8877400295420974,0.8778170530709523,0.8976630060132426,t
qwen,math500,static_3_1_4,0,0.05,0,,,,t
qwen,math500,static_3_1_4,1,0.15000000000000002,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,t
qwen,math500,static_3_1_4,2,0.25,235,0.3843971631205673,0.36499736845520464,0.40379695778593,t
qwen,math500,static_3_1_4,3,0.35000000000000003,1493,0.4275507925876312,0.4165050483085821,0.43859653686668026,t
qwen,math500,static_3_1_4,4,0.45,2417,0.45869535236519104,0.4487500260925699,0.46864067863781217,t
qwen,math500,static_3_1_4,5,0.55,2751,0.5132679025808797,0.5023947429801603,0.5241410621815992,t
qwen,math500,static_3_1_4,6,0.6500000000000001,2728,0.5689149560117303,0.5567872710494994,0.5810426409739611,t
qwen,math500,static_3_1_4,7,0.75,2535,0.6287968441814595,0.6154688500570941,0.642124838305825,t
qwen,math500,static_3_1_4,8,0.8500000000000001,2777,0.7262033369343416,0.7133765348156335,0.7390301390530497,t
qwen,math500,static_3_1_4,9,0.95,5681,0.8966731209294139,0.8879448850888435,0.9054013567699842,t
qwen,mtbench,static_3_1_4,0,0.05,0,,,,t
qwen,mtbench,static_3_1_4,1,0.15000000000000002,33,0.3434343434343434,0.3236363636363636,0.36323232323232324,t
qwen,mtbench,static_3_1_4,2,0.25,210,0.38730158730158726,0.3603852301382112,0.4142179444649633,t
qwen,mtbench,static_3_1_4,3,0.35000000000000003,871,0.4309223115193264,0.4139341209917573,0.44791050204689553,t
qwen,mtbench,static_3_1_4,4,0.45,1552,0.4980670103092783,0.4823676373812666,0.5137663832372901,t
qwen,mtbench,static_3_1_4,5,0.55,1846,0.5794510653665582,0.5631563121396981,0.5957458185934184,t
qwen,mtbench,static_3_1_4,6,0.6500000000000001,2134,0.6697906904092471,0.6536568688424733,0.6859245119760209,t
qwen,mtbench,static_3_1_4,7,0.75,2042,0.756937642833823,0.7401698600179815,0.7737054256496646,t
qwen,mtbench,static_3_1_4,8,0.8500000000000001,2803,0.8532524675942443,0.8394867446703276,0.8670181905181611,t
qwen,mtbench,static_3_1_4,9,0.95,14567,1.0470698611015765,1.0418603839195948,1.0522793382835582,t
llama,livecodebench,static_7_1_8,0,0.05,0,,,,t
llama,livecodebench,static_7_1_8,1,0.15000000000000002,116,0.14778325123152702,0.14301904965005643,0.1525474528129976,t
llama,livecodebench,static_7_1_8,2,0.25,235,0.1671732522796352,0.15768152028353336,0.17666498427573704,t
llama,livecodebench,static_7_1_8,3,0.35000000000000003,306,0.18860877684407093,0.17530755896417693,0.20190999472396493,t
llama,livecodebench,static_7_1_8,4,0.45,248,0.2298387096774193,0.21020914845577848,0.2494682708990601,t
llama,livecodebench,static_7_1_8,5,0.55,268,0.2755863539445628,0.24944629838323248,0.30172640950589313,t
llama,livecodebench,static_7_1_8,6,0.6500000000000001,261,0.2961138478379857,0.2712379810453315,0.32098971463063997,t
llama,livecodebench,static_7_1_8,7,0.75,321,0.36359590565198036,0.3352923233893441,0.3918994879146166,t
llama,livecodebench,static_7_1_8,8,0.8500000000000001,488,0.4976580796252927,0.4699225987232346,0.5253935605273508,t
llama,livecodebench,static_7_1_8,9,0.95,875,0.7593469387755101,0.7363807717982086,0.7823131057528115,t
llama,math500,static_7_1_8,0,0.05,1,,,,t
llama,math500,static_7_1_8,1,0.15000000000000002,11,0.18181818181818177,0.1272242639539307,0.23641209968243285,t
llama,math500,static_7_1_8,2,0.25,105,0.17414965986394554,0.15272038840610835,0.19557893132178272,t
llama,math500,static_7_1_8,3,0.35000000000000003,182,0.23704866562009408,0.21020030837360437,0.2638970228665838,t
llama,math500,static_7_1_8,4,0.45,246,0.26132404181184665,0.23213825022930729,0.290509833394386,t
llama,math500,static_7_1_8,5,0.55,326,0.3155127081507449,0.28790773316086227,0.3431176831406275,t
llama,math500,static_7_1_8,6,0.6500000000000001,307,0.35691019078641223,0.32437030542188383,0.3894500761509406,t
llama,math500,static_7_1_8,7,0.75,323,0.43830163644405123,0.40387263910238147,0.472730633785721,t
llama,math500,static_7_1_8,8,0.8500000000000001,584,0.5085616438356164,0.48362767785192273,0.5334956098193101,t
llama,math500,static_7_1_8,9,0.95,1414,0.6722570216205294,0.6559658768500933,0.6885481663909654,t
llama,mtbench,static_7_1_8,0,0.05,0,,,,t
llama,mtbench,static_7_1_8,1,0.15000000000000002,2,,,,t
llama,mtbench,static_7_1_8,2,0.25,73,0.23091976516634047,0.18839032894739643,0.2734492013852845,t
llama,mtbench,static_7_1_8,3,0.35000000000000003,239,0.23191870890615657,0.20915057997429076,0.2546868378380224,t
llama,mtbench,static_7_1_8,4,0.45,346,0.27993393889347645,0.2542366613161264,0.30563121647082653,t
llama,mtbench,static_7_1_8,5,0.55,382,0.3451757666417352,0.3162354130158657,0.3741161202676047,t
llama,mtbench,static_7_1_8,6,0.6500000000000001,411,0.4122349669794925,0.38205561035574614,0.4424143236032389,t
llama,mtbench,static_7_1_8,7,0.75,456,0.49122807017543857,0.46133851647575896,0.5211176238751182,t
llama,mtbench,static_7_1_8,8,0.8500000000000001,669,0.556267349989323,0.5323179256441036,0.5802167743345424,t
llama,mtbench,static_7_1_8,9,0.95,1118,0.6958855098389982,0.6761796093938442,0.7155914102841522,t
qwen,livecodebench,static_7_1_8,0,0.05,0,,,,t
qwen,livecodebench,static_7_1_8,1,0.15000000000000002,5,0.22857142857142856,0.1599857157734996,0.29715714136935756,t
qwen,livecodebench,static_7_1_8,2,0.25,327,0.17780690257754472,0.16654583875540224,0.1890679663996872,t
qwen,livecodebench,static_7_1_8,3,0.35000000000000003,1771,0.1879486972654674,0.18296126625044432,0.19293612828049048,t
qwen,livecodebench,static_7_1_8,4,0.45,3082,0.2071938444423843,0.20274341055052938,0.21164427833423924,t
qwen,livecodebench,static_7_1_8,5,0.55,3196,0.23328267477203643,0.22824263763025462,0.23832271191381824,t
qwen,livecodebench,static_7_1_8,6,0.6500000000000001,2950,0.26474576271186434,0.2587889101010617,0.270702615322667,t
qwen,livecodebench,static_7_1_8,7,0.75,2524,0.29539280054335515,0.2885050467863485,0.3022805543003618,t
qwen,livecodebench,static_7_1_8,8,0.8500000000000001,3150,0.3413151927437641,0.3350396023315482,0.34759078315597997,t
qwen,livecodebench,static_7_1_8,9,0.95,3298,0.41852204799445547,0.41160924800436105,0.4254348479845499,t
qwen,math500,static_7_1_8,0,0.05,0,,,,t
qwen,math500,static_7_1_8,1,0.15000000000000002,3,0.14285714285714285,0.14285714285714285,0.14285714285714285,t
qwen,math500,static_7_1_8,2,0.25,255,0.16582633053221285,0.15345666110814749,0.17819599995627822,t
qwen,math500,static_7_1_8,3,0.35000000000000003,1431,0.18588399720475193,0.1799496580369248,0.19181833637257906,t
qwen,math500,static_7_1_8,4,0.45,2510,0.20079681274900393,0.19596269661462465,0.20563092888338322,t
qwen,math500,static_7_1_8,5,0.55,2835,0.22438901486520532,0.21912233206952722,0.22965569766088342,t
qwen,math500,static_7_1_8,6,0.6500000000000001,2618,0.2518825712103023,0.24557286415784882,0.25819227826275576,t
qwen,math500,static_7_1_8,7,0.75,2352,0.2792759961127308,0.2722222710388183,0.2863297211866433,t
qwen,math500,static_7_1_8,8,0.8500000000000001,3014,0.33292255190065406,0.3258690298945177,0.3399760739067904,t
qwen,math500,static_7_1_8,9,0.95,4696,0.4231564857629593,0.41711122954433755,0.429201741981581,t
qwen,mtbench,static_7_1_8,0,0.05,0,,,,t
qwen,mtbench,static_7_1_8,1,0.15000000000000002,13,0.14285714285714282,0.1428571428571428,0.14285714285714285,t
qwen,mtbench,static_7_1_8,2,0.25,159,0.16442048517520208,0.14981260878029434,0.17902836157010982,t
qwen,mtbench,static_7_1_8,3,0.35000000000000003,752,0.19528875379939206,0.1850395148084598,0.20553799279032434,t
qwen,mtbench,static_7_1_8,4,0.45,1441,0.22563695846138593,0.21651748404019447,0.2347564328825774,t
qwen,mtbench,static_7_1_8,5,0.55,1634,0.2752229410736142,0.2646187200874249,0.2858271620598036,t
qwen,mtbench,static_7_1_8,6,0.6500000000000001,1718,0.31024447031431895,0.29927385300869347,0.32121508761994444,t
