model,dataset,decile,signal_mid,n_steps_in_decile,best_config,best_est_tput_tok_s,best_al,tput_static_3_1_4,tput_static_7_1_8,tput_static_7_4_8,tput_static_6_10_60,al_static_3_1_4,al_static_7_1_8,al_static_7_4_8,al_static_6_10_60
llama,math500,4,0.8305574059486389,1302,static_7_4_8,183.23409157736003,3.66793893129771,148.7930379798404,171.1812927757393,183.23409157736003,173.7740685567115,2.707692307692308,3.337278106508876,3.66793893129771,4.320954907161804
llama,math500,5,0.8826719522476196,1301,static_7_1_8,195.9635510302632,3.8204225352112675,157.22913629946737,195.9635510302632,189.2186185311805,182.89338190986442,2.8612099644128115,3.8204225352112675,3.7877358490566038,4.547709923664122
llama,math500,6,0.9158582091331482,1301,static_7_4_8,215.36875031198392,4.3112033195020745,169.71705894575544,200.06135180305964,215.36875031198392,209.64681271879718,3.0884615384615386,3.9003115264797508,4.3112033195020745,5.21294363256785
llama,math500,7,0.9432222247123718,1301,static_6_10_60,227.94240101684045,5.667870036101083,176.5834782427741,218.41182105017114,225.56743802528652,227.94240101684045,3.2134146341463414,4.258064516129032,4.515358361774744,5.667870036101083
llama,math500,8,0.9711633324623108,1301,static_7_4_8,262.6612884674684,5.257894736842105,179.93576685934184,260.90730284103705,262.6612884674684,241.83575653359517,3.2744186046511627,5.086538461538462,5.257894736842105,6.013333333333334
llama,math500,9,0.9962197542190552,1302,static_7_4_8,296.83515465005576,5.9419795221843,197.11517890271915,295.51287321193445,296.83515465005576,,3.5870445344129553,5.7611940298507465,5.9419795221843,
llama,mtbench,0,0.34985679388046265,1429,static_6_10_60,133.05305948630024,3.339622641509434,93.49734721445567,88.30968203521036,96.90886127976697,133.05305948630024,1.5330188679245282,1.7348484848484849,1.9505813953488371,3.339622641509434
llama,mtbench,1,0.47867438197135925,1429,static_6_10_60,159.51983983653784,4.003937007874016,113.8462057569249,101.67319029216324,125.38141360501017,159.51983983653784,1.8666666666666667,1.9973753280839894,2.5236768802228413,4.003937007874016
llama,mtbench,2,0.5758596658706665,1428,static_6_10_60,182.08208995115905,4.570247933884297,122.79489508061175,130.55389277456266,153.0206806306091,182.08208995115905,2.013392857142857,2.564738292011019,3.08,4.570247933884297
llama,mtbench,3,0.6682186722755432,1429,static_6_10_60,196.59876123444002,4.934615384615385,153.0811350770181,147.68958344604874,171.00191950828707,196.59876123444002,2.5099778270509976,2.9013698630136986,3.441926345609065,4.934615384615385
llama,mtbench,4,0.7560616731643677,1429,static_6_10_60,205.55764530660366,5.1594827586206895,161.9773822631573,177.83807830631446,184.0559755059825,205.55764530660366,2.655844155844156,3.4936386768447836,3.7046783625730995,5.1594827586206895
llama,mtbench,5,0.8346428275108337,1428,static_6_10_60,206.71218153176898,5.188461538461539,178.96557312548268,197.2143057622754,195.68909575671117,206.71218153176898,2.934389140271493,3.874285714285714,3.9388297872340425,5.188461538461539
llama,mtbench,6,0.8889838457107544,1429,static_6_10_60,209.64887269403388,5.262172284644195,195.31013615186734,197.36457958465044,199.29433374763903,209.64887269403388,3.2023809523809526,3.877237851662404,4.011396011396012,5.262172284644195
llama,mtbench,7,0.9227921366691589,1428,static_6_10_60,232.44229888562276,5.8342857142857145,193.2095503917278,217.75342266032945,214.95086332950655,232.44229888562276,3.16793893129771,4.277777777777778,4.326530612244898,5.8342857142857145
llama,mtbench,8,0.9511811137199402,1429,static_7_1_8,248.76519119681043,4.887005649717514,205.58266905951876,248.76519119681043,239.47555118329336,241.79211745338174,3.3708133971291865,4.887005649717514,4.820163487738419,6.068965517241379
llama,mtbench,9,0.9855886697769165,1429,static_7_1_8,287.3715349451929,5.645429362880886,219.09890502814304,287.3715349451929,277.85699715817384,235.21363873333237,3.5924308588064044,5.645429362880886,5.592705167173253,5.903846153846154
qwen,livecodebench,0,0.3486778438091278,7133,static_6_10_60,105.532856038312,2.3251851851851852,78.3753294900518,66.39863713306379,83.30540592610879,105.532856038312,1.2893175074183976,1.3104560110548134,1.6553459119496856,2.3251851851851852
qwen,livecodebench,1,0.4391537010669708,7133,static_6_10_60,119.28597997321884,2.628205128205128,84.860485143396,72.9361333522412,93.15096871398859,119.28597997321884,1.396001903855307,1.4394812680115274,1.8509852216748768,2.628205128205128
qwen,livecodebench,2,0.5039694309234619,7133,static_6_10_60,126.03207246624264,2.776840490797546,91.07931445738274,78.15525306572111,99.66220831281353,126.03207246624264,1.4983050847457626,1.542486797887662,1.9803688280785248,2.776840490797546
qwen,livecodebench,3,0.5674952268600464,7133,static_6_10_60,131.0896253186419,2.888272583201268,99.56400941389234,83.6465565292702,108.02640051488659,131.0896253186419,1.6378830083565459,1.6508641975308642,2.1465721040189125,2.888272583201268
qwen,livecodebench,4,0.6328356266021729,7133,static_6_10_60,139.09552912868799,3.064665127020785,102.4847519729433,91.94156782465497,113.7181484341399,139.09552912868799,1.6859308384651823,1.8145761031234506,2.2596717467760845,3.064665127020785
qwen,livecodebench,5,0.7045516967773438,7133,static_6_10_60,142.29582585722898,3.1351766513056836,113.75078184731147,101.16401285268402,116.63715094510908,142.29582585722898,1.8712632594021215,1.9965920155793573,2.317674691720493,3.1351766513056836
qwen,livecodebench,6,0.7834206819534302,7133,static_6_10_60,150.58289991957815,3.3177641653905052,124.24437242008072,107.93802281917671,124.27948443490024,150.58289991957815,2.0438886267107126,2.130285152409046,2.4695340501792113,3.3177641653905052
qwen,livecodebench,7,0.8566678166389465,7133,static_6_10_60,158.0666535533945,3.4826522744795683,134.88216510786285,121.22135094703177,132.2119729070316,158.0666535533945,2.2188861985472155,2.39244741873805,2.627159023228112,3.4826522744795683
qwen,livecodebench,8,0.914303183555603,7133,static_6_10_60,174.2339201180896,3.838862559241706,148.04453273638612,135.55364123189304,148.95166206819405,174.2339201180896,2.4354144241119484,2.675312199807877,2.9597902097902096,3.838862559241706
qwen,livecodebench,9,0.9662292003631592,7133,static_6_10_60,193.549745846627,4.264444444444444,168.25272279147197,159.6829799011114,171.12072914695585,193.549745846627,2.7678503245513553,3.151533373421527,3.4003075345976423,4.264444444444444
qwen,math500,0,0.35380876064300537,6908,static_6_10_60,100.60448467211036,2.18848167539267,78.27284257670874,67.10041321247004,80.3268514547702,100.60448467211036,1.2749500998003993,1.2932790224032586,1.5901434809731754,2.18848167539267
qwen,math500,1,0.45394930243492126,6908,static_6_10_60,116.52190739608967,2.5347384855581576,84.6157974228269,72.64769648801641,89.73671227828183,116.52190739608967,1.3782675550999488,1.40019617459539,1.7764202810018326,2.5347384855581576
qwen,math500,2,0.5292856693267822,6908,static_6_10_60,122.62514563048147,2.66750418760469,91.95026358898468,79.66550215583824,99.38171218673065,122.62514563048147,1.4977352793155512,1.5354558610709117,1.9673518742442564,2.66750418760469
qwen,math500,3,0.6015119552612305,6907,static_6_10_60,135.9498711637677,2.9573612228479487,99.748273417878,86.84303693365898,108.24300307574308,135.9498711637677,1.6247534516765285,1.6737941322725012,2.1427692307692308,2.9573612228479487
qwen,math500,4,0.6765707731246948,6908,static_6_10_60,142.55414189577502,3.101026045777427,108.42915802327619,94.5959310984147,114.88836472992438,142.55414189577502,1.766152362584378,1.8232217573221758,2.274320241691843,3.101026045777427
qwen,math500,5,0.7582550048828125,6908,static_6_10_60,150.30154631866696,3.2695578231292517,116.32639069232334,101.38812570973334,120.18241859101079,150.30154631866696,1.8947867298578198,1.954133064516129,2.379120879120879,3.2695578231292517
qwen,math500,6,0.836796224117279,6907,static_6_10_60,157.9499642435998,3.4359363153904474,129.8621714914971,116.44948111985936,130.1118922590824,157.9499642435998,2.115264797507788,2.2444224095190877,2.5756838905775075,3.4359363153904474
qwen,math500,7,0.8996702432632446,6908,static_6_10_60,170.32793815338653,3.7051983584131327,142.56354141625772,134.20646215518363,141.61202413744186,170.32793815338653,2.3221515326778484,2.5866666666666664,2.803339517625232,3.7051983584131327
qwen,math500,8,0.9423604011535645,6908,static_6_10_60,190.10735206576496,4.135466303607896,156.10638586942332,148.52547300826947,161.4828801073758,190.10735206576496,2.5427446569178853,2.8626482213438735,3.196701282834453,4.135466303607896
qwen,math500,9,0.9805088043212891,6908,static_6_10_60,211.46196227970373,4.6,176.81064880376292,170.6622731646592,177.84140959101552,211.46196227970373,2.8799868117375538,3.289308176100629,3.5205333333333333,4.6
qwen,mtbench,0,0.3778989017009735,7687,static_6_10_60,114.24567628571072,2.5627165627165627,83.31645729471161,72.3928618954109,81.24334675227405,114.24567628571072,1.371309963099631,1.423056859676578,1.634089856415007,2.5627165627165627
qwen,mtbench,1,0.5371673107147217,7687,static_6_10_60,153.88256181155356,3.451836451836452,102.61615078252224,95.73778325473752,113.06479563478499,153.88256181155356,1.6889646357051555,1.881957773512476,2.2741312741312742,3.451836451836452
qwen,mtbench,2,0.6575132608413696,7686,static_6_10_60,173.20286799091826,3.885222381635581,124.21673535141555,110.9851127192835,131.43723636698252,173.20286799091826,2.044489795918367,2.181680926019124,2.64366576819407,3.885222381635581
qwen,mtbench,3,0.774882435798645,7687,static_6_10_60,183.0360693691987,4.105797101449276,140.55303943716666,131.88422802236107,151.37795901319683,183.0360693691987,2.3133698861239984,2.592503604036521,3.044743935309973,4.105797101449276
qwen,mtbench,4,0.8691889047622681,7686,static_6_10_60,202.39740964639626,4.540103492884864,157.77408615014798,167.70349258024893,172.05801441950848,202.39740964639626,2.596812001875293,3.296617915904936,3.4606926882902695,4.540103492884864
qwen,mtbench,5,0.9173247814178467,7687,static_6_10_60,234.62721623727063,5.263070539419087,173.8986455671394,175.83355325179863,191.14346119052988,234.62721623727063,2.8622069754145225,3.4564339296018467,3.8445682451253482,5.263070539419087
qwen,mtbench,6,0.9444097280502319,7686,static_6_10_60,246.68135791876682,5.533464566929134,179.6851166790185,191.48560629115738,205.50596945014817,246.68135791876682,2.9574468085106385,3.7641129032258065,4.133448873483536,5.533464566929134
qwen,mtbench,7,0.9668130278587341,7687,static_6_10_60,256.5979629048499,5.755910165484633,176.06605852159603,215.70696232118556,224.7171664089463,256.5979629048499,2.897880539499037,4.240242261103634,4.519853709508882,5.755910165484633
qwen,mtbench,8,0.989120602607727,7686,static_6_10_60,271.574733418455,6.091863517060368,192.92228538774083,267.2516861605526,259.2427954240698,271.574733418455,3.175318066157761,5.2534785238959465,5.214285714285714,6.091863517060368
qwen,mtbench,9,0.9995957612991333,7687,static_7_1_8,318.00116138880094,6.251082251082251,209.29816850868954,318.00116138880094,311.22449658445817,,3.444849589790337,6.251082251082251,6.2598208132322535,
